Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Late Fees to Date,Renewal
5347,7082,Circular Saw,1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,30003,Driver Bit Set (impact rated),1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,9567,"Hatchet, With Cover",1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,9341,staple gun,1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,100,Heater,1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,5000,"Saw Horse, Folding",1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,4993,"Saw Horse, Folding",1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,8757,Square Shovel,1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,4946,T-square,1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,4033,Speed Square,1/15/2024 7:55 PM,,1/29/2024,$0.00,
5347,9537,Wheelbarrow,1/15/2024 7:55 PM,,1/29/2024,$0.00,
2816,4764,Lopper,1/21/2024 4:24 PM,1/21/2024 6:01 PM,2/4/2024,$0.00,
4734,7750,Staple Gun,1/23/2024 8:56 PM,,2/6/2024,$0.00,
3774,4324,Cordless Drill,1/7/2024 4:51 PM,1/21/2024 4:01 PM,1/21/2024,$0.00,
3774,4324,Cordless Drill,1/21/2024 4:01 PM,,2/4/2024,$0.00,Renewal
5350,4100,Grout Float,1/16/2024 8:42 PM,1/21/2024 5:57 PM,1/30/2024,$0.00,
5350,7568,Clay Knife,1/16/2024 8:42 PM,1/21/2024 5:57 PM,1/30/2024,$0.00,
5350,6415,Grout Scraper,1/16/2024 8:42 PM,1/21/2024 5:57 PM,1/30/2024,$0.00,
5350,8338,"Trowel, Plastic",1/16/2024 8:42 PM,1/21/2024 5:57 PM,1/30/2024,$0.00,
5346,9052,"Hand Saw, 26in",1/15/2024 7:03 PM,,1/29/2024,$0.00,
5324,275,Table,1/8/2024 7:06 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,173,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,6760,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,7062,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,170,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,6758,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,7061,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,6752,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5324,6763,"Folding Chair, Metal",1/8/2024 7:15 PM,1/14/2024 4:12 PM,1/22/2024,$0.00,
5293,7186,Oscillating Multitool,1/18/2024 6:59 PM,,2/1/2024,$0.00,Renewal
5055,8187,Socket Wrench,1/20/2024 11:56 AM,,2/3/2024,$0.00,
5055,9066,"Socket Wrench, 3/8in, with sockets from 7-19mm",1/20/2024 11:56 AM,,2/3/2024,$0.00,
5055,9209,Torque Wrench (150 ft lbs),1/21/2024 4:34 PM,,2/4/2024,$0.00,
2503,30013,Ryobi One+ Battery (4Ah),1/21/2024 4:46 PM,1/24/2024 6:23 PM,2/4/2024,$0.00,
2503,9323,Cordless Drill,1/21/2024 4:46 PM,1/24/2024 6:23 PM,2/4/2024,$0.00,
2503,6859,Angle Grinder,1/24/2024 6:23 PM,1/24/2024 7:00 PM,2/7/2024,$0.00,
5354,9102,Screwdriver,1/18/2024 6:23 PM,,2/1/2024,$0.00,
5354,8412,"Torx Screwdriver, Narrow",1/18/2024 6:23 PM,,2/1/2024,$0.00,
2280,856,Extension Cord,1/7/2024 4:31 PM,1/18/2024 6:06 PM,1/21/2024,$0.00,
2280,3958,"Corded Drill, 1/4in",1/7/2024 4:31 PM,1/18/2024 6:06 PM,1/21/2024,$0.00,
1402,7402,Hole Saw Kit,1/6/2024 12:02 PM,1/11/2024 7:29 PM,1/20/2024,$0.00,
1402,7339,"Hole Saw, 2-7/8in",1/6/2024 12:02 PM,1/11/2024 7:29 PM,1/20/2024,$0.00,
1402,7749,"C-clamp, Plastic",1/11/2024 7:44 PM,1/26/2024 8:19 AM,1/25/2024,$0.00,
1402,9186,Spade bit,1/11/2024 7:44 PM,1/26/2024 8:19 AM,1/25/2024,$0.00,
1402,4996,Bit Set,1/11/2024 7:44 PM,1/26/2024 8:19 AM,1/25/2024,$0.00,
1402,7402,Hole Saw Kit,1/11/2024 7:44 PM,1/26/2024 8:19 AM,1/25/2024,$0.00,
1402,9349,Bench and Drill Vice Clamp,1/11/2024 7:44 PM,1/26/2024 8:19 AM,1/25/2024,$0.00,
1402,9033,Wood chisel,1/11/2024 7:44 PM,1/26/2024 8:19 AM,1/25/2024,$0.00,
1402,7749,"C-clamp, Plastic",1/26/2024 8:19 AM,,2/9/2024,$0.00,Renewal
1402,9186,Spade bit,1/26/2024 8:19 AM,,2/9/2024,$0.00,Renewal
1402,4996,Bit Set,1/26/2024 8:19 AM,,2/9/2024,$0.00,Renewal
1402,7402,Hole Saw Kit,1/26/2024 8:19 AM,,2/9/2024,$0.00,Renewal
1402,9349,Bench and Drill Vice Clamp,1/26/2024 8:19 AM,,2/9/2024,$0.00,Renewal
