Loan ID,Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Late Fees to Date,Renewal
3413840,262,7620,Shoulder Dolly,1/22/2023 5:26 PM,,1/29/2023,$36.20,
3441930,4317,6023,"Battery Charger, Automotive",2/5/2023 6:07 PM,,2/12/2023,$34.80,
3441927,4317,8247,Cordless Joist Drill Set BATT_X,2/5/2023 6:07 PM,,2/12/2023,$34.80,
3441928,4317,4579,Cat 5 Ethernet And Phone Crimper,2/5/2023 6:07 PM,,2/12/2023,$34.80,
3441926,4317,6470,File,2/5/2023 6:07 PM,,2/12/2023,$34.80,
3441929,4317,922,Wirestripper,2/5/2023 6:07 PM,,2/12/2023,$34.80,
3727117,2394,4139,Framing Hammer,5/31/2023 8:32 PM,,6/7/2023,$23.30,
4300372,5347,7082,Circular Saw,1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300375,5347,30003,Driver Bit Set (impact rated),1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300370,5347,9567,"Hatchet, With Cover",1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300371,5347,9341,staple gun,1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300374,5347,100,Heater,1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300377,5347,4993,"Saw Horse, Folding",1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300378,5347,5000,"Saw Horse, Folding",1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300373,5347,8757,Square Shovel,1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300369,5347,4033,Speed Square,1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300368,5347,4946,T-square,1/15/2024 7:55 PM,,1/29/2024,$0.00,
4300376,5347,9537,Wheelbarrow,1/15/2024 7:55 PM,,1/29/2024,$0.00,
3950919,3493,5669,Box Cutter,8/26/2023 9:40 AM,,9/2/2023,$14.60,
3760961,3404,8988,Bottom Bracket Bearing Press Set,6/13/2023 6:45 PM,,6/20/2023,$22.00,Renewal
3760960,3404,2629,Sewing Machine,6/13/2023 6:45 PM,,6/20/2023,$22.00,Renewal
2346572,3146,752,Socket 1in,5/11/2021 7:11 PM,,5/18/2021,$98.30,
2346573,3146,753,Socket 13/16in,5/11/2021 7:11 PM,,5/18/2021,$98.30,
2346574,3146,8030,Socket 3/4in,5/11/2021 7:11 PM,,5/18/2021,$98.30,
1980340,2511,396,Circular Saw,6/25/2020 4:03 PM,,8/1/2020,$127.30,Renewal
2325703,3128,7652,90 Amp MIG Flux Wire Welder,4/27/2021 8:47 PM,,5/4/2021,$99.70,
2325708,3128,6869,Band Clamp,4/27/2021 9:00 PM,,5/4/2021,$99.70,
3843181,4812,7535,Roto Zip,7/15/2023 11:53 AM,,7/22/2023,$18.80,
3942475,3349,8081,Heat Gun,8/23/2023 6:07 PM,,8/30/2023,$14.90,
3942474,3349,8828,Wood burning tool,8/23/2023 6:07 PM,,8/30/2023,$14.90,
4192454,5164,9006,"30"" Bar Clamp",11/19/2023 6:55 PM,,12/3/2023,$5.40,
4192456,5164,66721,36â Bar Clamp,11/19/2023 6:55 PM,,12/3/2023,$5.40,
4192457,5164,66722,36â Bar Clamp,11/19/2023 6:55 PM,,12/3/2023,$5.40,
4192455,5164,9376,woodworker's vise,11/19/2023 6:55 PM,,12/3/2023,$5.40,
4192459,5164,278,Bar Clamp,11/19/2023 6:56 PM,,12/3/2023,$5.40,Renewal
4192458,5164,9005,"36"" Aluminum Bar Clamp (set of 2)",11/19/2023 6:56 PM,,12/3/2023,$5.40,Renewal
2502647,3292,8256,20V Max 3.0Ah Battery BATT_X,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502652,3292,7358,"Wrench, Adjustable, Large",8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502654,3292,8141,Adjusable Wrench,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502662,3292,5482,Hydraulic Jack,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502659,3292,574,Scissor Jack,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502664,3292,256,Bicycle Trailer,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502648,3292,7628,Bolt Cutter,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502650,3292,6230,"Box Wrench, 1-1/8in, 1-1/2in",8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502656,3292,8222,Power Hammer,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502663,3292,8244,Cordless Jigsaw BATT_X,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502646,3292,8245,Cordless Oscillating Multi-Tool BATT_X,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502667,3292,3825,"Crow Bar, Chisel End",8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502655,3292,5628,Vice Grip,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502661,3292,7349,Backpack,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502666,3292,4441,Glue Gun,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502671,3292,7929,"Jack Stand, 2 Ton",8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502672,3292,7930,"Jack Stand, 2 Ton",8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502649,3292,6631,Nail Puller,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502651,3292,6669,End Cutting Nippers,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502658,3292,5928,Needle Nose Pliers,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502668,3292,6803,Handheld Pry Bar,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502653,3292,8281,Quick Grip Clamp,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502645,3292,7721,Toolbox (Empty),8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502665,3292,220,Karaoke Machine,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502669,3292,5341,Wire Cutter,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502657,3292,5923,Wire Cutter,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2502670,3292,8140,Wire Cutters,8/28/2021 11:35 AM,,9/4/2021,$87.40,
2756702,3580,721,Cordless Drill Set,2/23/2022 6:47 PM,,3/2/2022,$69.50,
2756701,3580,7308,Drill Bit Set,2/23/2022 6:47 PM,,3/2/2022,$69.50,
2167137,2082,4627,Belt Sander,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167138,2082,4632,Caulk Gun,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167140,2082,277,"Reciprocating Saw, Cordless",11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167141,2082,7490,Drill Bit Kit,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167143,2082,6476,Extension Cord,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167142,2082,6895,"Extension Cord, Non-Grounded",11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167145,2082,6460,Jigsaw,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167144,2082,4288,Laser Level,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167139,2082,7386,Corded Drill,11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
2167146,2082,5253,"Shop Vac, Dry Only, 1 Gal",11/29/2020 4:31 PM,,12/19/2020,$113.30,Renewal
3935936,4907,9437,Ryobi 18 volt One+ battery,8/20/2023 7:22 PM,,8/27/2023,$15.20,
3935937,4907,9263,Battery Charger,8/20/2023 7:22 PM,,8/27/2023,$15.20,
3935938,4907,9073,Cordless Drill,8/20/2023 7:22 PM,,8/27/2023,$15.20,
2977209,3780,5853,Belt Sander,6/18/2022 11:56 AM,,6/25/2022,$58.00,
2977210,3780,691,Respirator,6/18/2022 11:56 AM,,6/25/2022,$58.00,
3977038,4979,1394,Breaker Bar,9/5/2023 6:35 PM,,9/12/2023,$13.60,
4264758,3520,912,Multimeter,12/21/2023 7:02 PM,,1/4/2024,$2.20,
2304753,3120,4646,Claw Hammer,4/13/2021 6:57 PM,,4/20/2021,$101.10,
