Type,Parent Type,Full Hierarchy
T-Bevels,Measuring & Layout Tools,Tools > Hand Tools > Measuring & Layout Tools > T-Bevels
Contour Gauges,Measuring & Layout Tools,Tools > Hand Tools > Measuring & Layout Tools > Contour Gauges
String Lines,Measuring & Layout Tools,Tools > Hand Tools > Measuring & Layout Tools > String Lines
Compasses (drawing),Measuring & Layout Tools,Tools > Hand Tools > Measuring & Layout Tools > Compasses (drawing)
Balance Scales,Measuring & Layout Tools,Tools > Hand Tools > Measuring & Layout Tools > Balance Scales
Laser Levels,Measuring & Layout Tools,Tools > Hand Tools > Measuring & Layout Tools > Laser Levels
Marking,Hand Tools,Tools > Hand Tools > Marking
Scrapers,Hand Tools,Tools > Hand Tools > Scrapers
2-in-1 Glazing Tools,Scrapers,Tools > Hand Tools > Scrapers > 2-in-1 Glazing Tools
Manual Mutt Scraper,Scrapers,Tools > Hand Tools > Scrapers > Manual Mutt Scraper
Paint Scraper,Scrapers,Tools > Hand Tools > Scrapers > Paint Scraper
Sidewalk Ice Scraper,Scrapers,Tools > Hand Tools > Scrapers > Sidewalk Ice Scraper
Planes,Hand Tools,Tools > Hand Tools > Planes
Rebate Planes,Planes,Tools > Hand Tools > Planes > Rebate Planes
Should Planes,Planes,Tools > Hand Tools > Planes > Should Planes
Two Handed Planes,Planes,Tools > Hand Tools > Planes > Two Handed Planes
Chisels & Gouges,Hand Tools,Tools > Hand Tools > Chisels & Gouges
Cement Chisels,Chisels & Gouges,Tools > Hand Tools > Chisels & Gouges > Cement Chisels
Cold Chisels,Chisels & Gouges,Tools > Hand Tools > Chisels & Gouges > Cold Chisels
Wood Chisels,Chisels & Gouges,Tools > Hand Tools > Chisels & Gouges > Wood Chisels
Drills,Hand Tools,Tools > Hand Tools > Drills
"Bits, Drivers and Accessories",Hand Tools,"Tools > Hand Tools > Bits, Drivers and Accessories"
Drill Bits,"Bits, Drivers and Accessories","Tools > Hand Tools > Bits, Drivers and Accessories > Drill Bits"
Masonry Drill Bits,Drill Bits,"Tools > Hand Tools > Bits, Drivers and Accessories > Drill Bits > Masonry Drill Bits"
SDS Masonry Drill Bits,Drill Bits,"Tools > Hand Tools > Bits, Drivers and Accessories > Drill Bits > SDS Masonry Drill Bits"
Forstner Drill Bits,Drill Bits,"Tools > Hand Tools > Bits, Drivers and Accessories > Drill Bits > Forstner Drill Bits"
Screwdrivers,Hand Tools,Tools > Hand Tools > Screwdrivers
Flat Screwdrivers,Screwdrivers,Tools > Hand Tools > Screwdrivers > Flat Screwdrivers
