Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Late Fees to Date,Renewal
262,4808,Pressure Washer,8/24/2016 7:02 PM,8/31/2016 6:28 PM,8/31/2016,$0.00,
280,4472,Cordless Drill,8/14/2016 6:57 PM,8/20/2016 11:55 AM,8/21/2016,$0.00,
146,4523,"Hand Saw, Narrow",5/8/2016 5:24 PM,5/11/2016 6:29 PM,5/15/2016,$0.00,
206,4322,Belt Sander,7/2/2016 10:59 AM,7/9/2016 11:32 AM,7/9/2016,$0.00,
153,3732,Lathe Kit (Tiny),5/11/2016 7:01 PM,5/18/2016 6:37 PM,5/18/2016,$0.00,
251,4995,Hammer,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4996,Bit Set,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4917,Phillips Screwdriver,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4919,Phillips Screwdriver,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4406,Pipe Wrench,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4996,Bit Set,8/7/2016 4:44 PM,9/18/2016 5:21 PM,8/14/2016,$0.00,
251,4971,Level,8/7/2016 4:44 PM,9/18/2016 5:21 PM,8/14/2016,$0.00,
251,3800,Pliers,8/7/2016 4:44 PM,9/18/2016 5:21 PM,8/14/2016,$0.00,
147,1,Dehydrator,7/14/2016 12:00 PM,8/2/2016 10:48 AM,7/21/2016,$0.00,
181,4524,Bit Set,6/29/2016 8:42 PM,7/2/2016 11:57 AM,7/6/2016,$0.00,
368,3805,Band Saw,10/23/2016 6:18 PM,10/23/2016 6:26 PM,10/30/2016,$0.00,
368,5049,Jigsaw,10/23/2016 6:18 PM,11/2/2016 8:53 AM,10/30/2016,$0.00,
368,4992,Planer,10/23/2016 6:18 PM,11/2/2016 8:53 AM,10/30/2016,$0.00,
368,5049,Jigsaw,11/2/2016 8:53 AM,11/16/2016 7:15 PM,11/9/2016,$0.00,Renewal
368,4992,Planer,11/2/2016 8:53 AM,11/16/2016 7:15 PM,11/9/2016,$0.00,Renewal
