ID,Amount
3270,($1.00)
3288,$2.10
3292,$99.20
3299,$1.40
3334,$0.20
3339,$23.90
3359,$0.10
3407,$1.30
3420,($0.60)
3448,($0.40)
3459,$1.00
3467,$2.70
3480,$3.10
3507,$25.20
3511,$0.10
3513,$127.60
3521,$2.80
3543,$11.20
3562,$0.30
3588,($20.00)
3612,$10.30
3615,$0.40
3637,$5.80
3650,$1.90
3659,$8.60
3662,$5.00
3680,$2.40
3697,$0.10
3698,($3.80)
3699,($9.30)
3715,$0.70
3719,$8.20
3726,$0.40
3739,$2.40
3750,$0.40
3753,($0.60)
3765,$1.40
3770,$1.10
3781,$0.60
3818,$9.20
3842,$1.00
3843,$0.80
3860,$0.90
3863,$0.10
3935,$7.00
3970,$1.00
3993,$0.30
4013,$3.10
4020,$1.50
4025,($0.20)
4049,$1.30
4055,($3.50)
356,$1.20
4062,($8.90)
4097,$7.40
4100,$20.60
4106,$1.60
4125,$4.90
4131,$0.90
4133,$0.40
4160,$0.80
4165,$3.40
4169,$4.90
4180,$7.50
4191,$2.00
4202,$5.90
4214,$0.80
4239,$1.00
4246,$22.00
4300,$3.20
4307,$0.50
4309,$0.50
4315,$0.70
4318,$0.20
4323,$0.60
4334,($1.00)
4352,$0.20
4364,$0.30
4378,($20.00)
4413,$1.40
4422,$1.20
4437,$0.40
4473,($0.60)
4505,$5.40
4507,$0.60
4510,$2.00
4558,$50.20
4562,($0.20)
4568,$1.20
4574,($0.60)
4576,$20.00
4577,$1.60
4580,$0.80
4587,$0.40
4591,$0.70
4612,$6.90
4615,$0.20
4622,$9.00
4668,$2.00
4685,$0.10
4715,$0.80
4728,$7.70
4800,$6.40
4804,$26.20
4870,$0.10
4991,$1.10
5024,$0.50
5050,$0.80
5064,$0.70
5102,$1.80
5120,$0.10
5127,$0.80
5128,$0.20
5140,$38.90
5145,$0.10
5147,$0.30
5152,$0.60
5154,$11.20
5160,$0.30
5173,$5.20
5216,$3.50
5243,$2.20
5260,$0.10
5293,$0.50
5295,$0.60
5306,$1.50
5309,$0.40
5367,$1.50
5414,($2.00)
5467,$0.50
5541,($0.05)
5567,$0.90
5642,$1.80
5655,$0.60
5656,($0.80)
5661,$0.70
5662,($17.00)
5692,($40.00)
5705,($0.30)
5714,$1.20
5753,($40.00)
5762,$1.10
5776,$0.80
5785,$2.90
5787,$0.80
5878,($20.00)
