id,name,estimated_cost
4001,"Pipe Wrench",20
4002,"Combination Wrench, 10mm",15
4003,"Pipe Wrench",20
4005,"Combination Wrench, 5/8in",15
4006,"Pipe Wrench",20
4007,"Combination Wrench, 14mm",15
4009,"Combination Wrench, 12mm",10
4010,"Combination Wrench, 17mm",15
4011,"Key Hole Saw",15
4012,"Garden Shears",15
4013,"Combination Wrench, 8mm",15
4014,Shears,15
4016,"Bypass Pruner",15
4019,"Hand Saw, Double-Sided",15
4020,"Bypass Pruner",15
4021,C-clamp,10
4023,"Garden Shears",15
4025,"Garden Shears",15
4026,"Bypass Pruner",15
4027,"Box Cutter",15
4030,"Back Saw",20
4032,Plane,20
4033,"Speed Square",15
4034,"Steam Cleaner",100
4035,"Cement Chisel",15
4036,"Flat Screwdriver",10
4037,"Flat Screwdriver",10
4040,"Hand Drill",20
4041,"Mud Pan",15
4042,"Mud Pan",15
4044,Scraper,15
4045,"Bristle Brush",10
4046,Rasp,15
4047,"Wire Brush",10
4049,Yardstick,10
4052,"Sanding Block",15
4053,"Key Hole Saw",15
4056,"Crimper, Hexagonal",20
4057,"Drywall Knife",15
4058,"Clay Knife",15
4059,"Drywall Knife",20
4060,"Drywall Knife",15
4063,"Wire Tracer",50
4065,Trowel,15
4066,"Notched Trowel",15
4068,Trowel,15
4069,"Notched Trowel",15
4070,C-clamp,15
4072,"Pointed Trowel",15
4074,"Grout Float",15
4075,"Flint Striker",15
4076,Baster,15
4078,"Drywall Corner Knife",25
4079,"Drywall Corner Knife",15
4082,"Hand Saw",20
4083,"Hand Saw",15
4084,"Hand Saw",15
4085,"Hand Saw",15
4086,"Joint Knife",15
4087,"Drywall Knife",15
4089,"Putty Knife",5
4091,"Sprayer Attachment",20
4093,"Circular Saw",60
4094,"Wire Brush",15
4097,"Notched Trowel",15
4098,Trowel,15
4100,"Grout Float",15
4106,"Fish Tape",25
4112,Scraper,15
4113,"Leather Punch",15
4114,Scraper,15
4115,"Open End Wrench, 1/2in",10
4116,"Open End Wrench, 1/2in",15
4117,Scraper,15
4118,Scraper,10
4119,"Snap Pliers",15
4120,Scraper,15
4121,Scraper,15
4122,Scraper,15
4123,"Clay Knife",15
4127,"Open End Wrench, 5/16in, 13/32in",10
4128,"Leather Seam Marker",25
4129,C-clamp,15
4130,Chalkline,15
4131,"Tape Measure, 6ft",10
4132,"Pipe Wrench",15
4133,"Angle Drive Drill Adapter",20
4135,"Leather Seam Marker",15
4136,"Pipe Wrench",20
4137,"Pipe Wrench",15
4138,"Tire Iron",15
4139,"Framing Hammer",20
4143,"Claw Hammer",15
4146,T-square,15
4148,"Open End Wrench",15
4151,"Open End Wrench Set, Small",15
4152,"Key Hole Saw",15
4154,File,20
4156,"Caulk Gun",20
4157,"Quick Wedge",15
4160,"Combination Wrench, 11/16in",15
4161,"Combination Wrench, 11/16in",15
4162,"Open End Wrench, 15/16in, 1in",15
4163,"Open End Wrench, ?in, ?in",15
4164,"Adjusable Wrench",10
4165,"Combination Wrench, 11/16in",15
4166,"Adjusable Wrench",10
4167,"Open End Wrench, ?in, ?in",15
4168,"Slip Joint Pliers",15
4169,"Slip Joint Pliers",15
4171,"Open End Wrench, 7/16in, 9/16in",20
4173,"Open End Wrench, 7/16in, 1/2in",15
4175,"Box Wrench",20
4177,"Box Wrench, Curved",20
4178,"Combination Wrench, 9/16in",15
4180,"Combination Wrench Set",25
4181,"Box Wrench, 1/2in, 9/16in",15
4183,"Combination Wrench, 7/16in",15
4184,"Open End Wrench, ?in",15
4187,"Open End Wrench, ?in, ?in",15
4189,"Phillips Screwdriver",15
4190,"Phillips Screwdriver",10
4191,"Flat Screwdriver, Long",15
4193,"Flat Screwdriver, Bent",10
4196,"Metal Mallet",15
4197,"Flat Screwdriver",10
4198,"Flat Screwdriver",10
4200,"Flat Screwdriver, With Holder",15
4202,"Flat Screwdriver, Bent",15
4204,"Flat Screwdriver",10
4207,"Flat Screwdriver",10
4208,"Roofing Hammer",15
4209,"Flat Screwdriver",10
4210,"Flat Screwdriver",15
4211,"Flat Screwdriver, Small",10
4212,"Meat Tenderizer",15
4214,"Socket Set, SAE",25
4215,"Rubber And Metal Mallet",15
4217,"Flat Screwdriver",10
4218,"Flat Screwdriver, Small",10
4220,"Flat Screwdriver",10
4224,"Phillips Screwdriver",10
4225,"Nut Driver, ?in",15
4226,"Flat Screwdriver, Small",15
4227,"Socket Extension",15
4229,"Flat Screwdriver",15
4230,"Nut Driver, 7/16in",15
4231,"Flat Screwdriver",8
4236,"Torx Screwdriver, T15",15
4237,"Screwdriver Set",15
4240,"Nail Set",15
4243,"Screwdriver Set",15
4245,"Flat Screwdriver",10
4246,"Flat Screwdriver",10
4248,"Box Wrench, 9/16in",20
4251,"Strap Wrench",15
4252,"Flat Screwdriver, Narrow",8
4259,"Flat Screwdriver",10
4261,"Nut Driver, ?in",15
4264,"Nut Driver, ?in",15
4266,"Nut Driver, 7/32in",10
4268,"Nut Driver, 3/8in",20
4270,Socket,15
4275,"Clamp-On Vise",40
4276,"Torque Amplifier",50
4277,"Screwdriver Set, Narrow",15
4281,"Phillips Screwdriver, Small",10
4283,"Nut Driver, ?in",15
4288,"Laser Level",50
4289,"Nut Driver, ?in",15
4293,"USB Keyboard",15
4296,"Bristle Brush",15
4304,"Nut Driver",15
4305,Iron,20
4306,"Hack Saw",15
4308,"Nut Driver, ?in",10
4309,Toaster,20
4310,"Open End Wrench, ?in, ?in",10
4311,"Nail Set",10
4318,"Split Blade Screw-Holding Screwdriver",15
4319,"Phillips Screwdriver",8
4323,"Hard Hat",15
4324,"Cordless Drill",50
4325,"Battery Charger",20
4326,"Joint Knife",10
4331,"Corded Drill, 3/8in",25
4332,"Pipe Wrench",15
4336,"Pipe Wrench",20
4337,"Pole Sander",20
4341,"Tin Shears",50
4344,"Edger Space",25
4346,Axe,15
4349,"Wire Stripper",15
4354,"Car Jack",40
4355,Flashlight,10
4356,Square,20
4358,"Combination Wrench, ?in",20
4360,Square,20
4365,"Wrench, 16mm",15
4366,"Brick Trowel",15
4367,"Brick Trowel",15
4370,Trowel,15
4372,"Combination Wrench, ?in",20
4376,"Pointed Trowel, Notched",15
