,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3090,3413,True,unknown,23,2021-11-10,2021-11-09,regular,2021-11-09,2022-11-09,,,,,,,
3091,3480,False,unknown,27,2022-01-03,2022-01-02,regular,2022-01-02,2023-01-02,,,,,,,
3092,3526,False,unknown,41,2022-01-26,,Request_CheckIDAddressPhoneDOB,2022-01-26,,,,,,,,
3093,321,True,unknown,,2016-09-16,2016-09-16,regular,2016-09-16,2017-09-16,,,,,,,
3094,36,False,male,36,2015-07-13,,Request_CheckIDAddressPhoneDOB,2015-07-13,,,,,,,,
3095,2090,True,unknown,,2019-04-24,,Request_CheckIDAddressPhoneDOB,2019-04-24,,,,,,,,
3096,3423,True,unknown,30,2021-11-15,2021-11-16,regular,2021-11-16,2022-11-16,,,,,,,
3097,281,True,male,35,2016-08-15,,Request_CheckIDAddressPhoneDOB,2016-08-15,,,,,,,,
3098,800,False,would rather not say,28,2017-07-19,2018-07-22,regular,2021-08-10,2022-07-22,,,,,,,
3099,937,False,male,33,2017-09-08,,Request_CheckIDAddressPhoneDOB,2017-09-08,,,,,,,,
3100,1031,True,female,35,2017-10-23,2017-10-22,regular,2017-10-22,2018-10-22,,,,,,,
3101,2551,False,unknown,34,2019-10-19,2019-10-19,regular,2019-10-19,2020-10-19,,,,,Y,,
3102,2393,True,female,33,2019-08-20,,Request_CheckIDAddressPhoneDOB,2019-08-20,,,,,,,,
3103,2087,True,female,29,2019-04-23,,Request_CheckIDAddressPhoneDOB,2019-04-23,,,,,,,,
3104,2389,True,unknown,,2019-08-19,,Request_CheckIDAddressPhoneDOB,2019-08-19,,,,,,,,
3105,778,True,unknown,,2017-07-10,2017-07-09,regular,2017-07-09,2018-07-09,,,,,,,
3106,2216,False,unknown,29,2019-06-08,2019-06-08,regular,2019-06-08,2020-06-08,,,,,,,
3107,1681,False,male,39,2018-08-30,2018-09-08,regular,2022-04-10,2023-04-10,,,,,,,
3108,3291,True,unknown,33,2021-08-28,2021-08-28,regular,2021-08-28,2022-08-28,,,,,,,
3109,193,True,unknown,,2016-06-15,,Request_CheckIDAddressPhoneDOB,2016-06-15,,,,,,,,
3110,918,True,unknown,,2017-09-02,2017-09-02,regular,2019-08-10,2019-09-02,,,,,,,
3111,467,True,male,32,2017-01-07,2017-01-07,ExtremelyOverdueItems,2019-05-03,,,,,,,,Y
3112,211,False,male,53,2016-07-02,2016-07-02,regular,2019-03-10,2019-07-02,,,,,Y,,
3113,414,True,unknown,33,2016-11-26,2016-11-26,regular,2019-10-06,2019-11-26,,,,,,,
3114,697,False,unknown,72,2017-05-27,2017-05-27,regular,2017-05-27,2018-05-27,,,,,,,
3115,1612,False,unknown,,2018-08-04,2018-08-11,regular,2018-08-11,2019-08-11,,,,,,,
3116,250,True,female,32,2016-07-25,,Request_CheckIDAddressPhoneDOB,2016-07-25,,,,,,,,
3117,2983,False,unknown,35,2020-10-03,2020-10-03,regular,2020-10-03,2021-10-03,,,,,,,
3118,1404,True,male,30,2018-05-10,,Request_CheckIDAddressPhoneDOB,2018-05-10,,,,,,,,
3119,793,False,male,40,2017-07-15,2017-07-15,regular,2017-07-15,2018-07-15,,,,,Y,,
3120,1859,False,unknown,,2018-12-19,,Request_CheckIDAddressPhoneDOB,2018-12-19,,,,,,,,
3121,1731,True,male,64,2018-09-24,2018-09-23,regular,2018-09-23,2019-09-23,,,,,,,
3122,172,False,unknown,,2016-06-01,,Request_CheckIDAddressPhoneDOB,2016-06-01,,,,,,,,
3123,1645,True,male,32,2018-08-18,2018-08-18,regular,2018-08-18,2019-08-18,,,,,,,
3124,3541,True,unknown,39,2022-02-03,,Request_CheckIDAddressPhoneDOB,2022-02-02,,,,,,,,
3125,1032,True,unknown,30,2017-10-22,2017-10-22,regular,2022-03-23,2023-03-20,,,,,Y,,
3126,2674,True,unknown,47,2019-12-30,2020-01-05,regular,2021-05-15,2022-05-15,,,,,,,
3127,2984,True,unknown,1,2020-10-03,2020-10-03,regular,2020-10-03,2021-10-03,,,,,,,
3128,2067,True,unknown,,2019-04-13,,Request_CheckIDAddressPhoneDOB,2019-04-13,,,,,,,,
3129,162,True,unknown,,2016-05-22,,Request_CheckIDAddressPhoneDOB,2016-05-22,,,,,,,,
3130,2320,False,male,44,2019-07-20,2019-07-20,regular,2019-07-20,2020-07-20,,,,,,,Y
3131,619,True,male,36,2017-04-24,2017-04-23,regular,2017-04-23,2018-04-23,,,,,,,
3132,1538,False,unknown,,2018-06-30,2018-07-01,ExtremelyOverdueItems,2019-02-22,,,,,,,,
3133,446,True,unknown,,2016-12-19,2016-12-18,regular,2016-12-18,2017-12-18,,,,,,,
3134,1389,True,unknown,35,2018-05-05,2018-05-05,regular,2022-02-06,2023-02-06,,,,,,,
3135,3360,False,unknown,64,2021-10-07,,Request_CheckIDAddressPhoneDOB,2021-10-07,,,,,,,,
3136,1710,False,unknown,,2018-09-16,,Request_CheckIDAddressPhoneDOB,2018-09-16,,,,,,,,
3137,3616,True,unknown,33,2022-03-21,,Request_CheckIDAddressPhoneDOB,2022-03-21,,,,,,,,
3138,710,False,unknown,,2017-06-01,2017-05-31,regular,2017-05-31,2018-05-31,,,,,,,
3139,3003,True,unknown,69,2020-10-24,2020-10-24,regular,2020-10-24,2021-10-24,,,,,,,
3140,2591,True,unknown,,2019-11-08,,Request_CheckIDAddressPhoneDOB,2019-11-08,,,,,,,,
3141,2976,True,unknown,38,2020-10-01,2020-10-03,regular,2020-10-03,2021-10-03,,,,,,,
3142,3737,False,unknown,28,2022-06-03,,Request_CheckIDAddressPhoneDOB,2022-06-03,,,,,,,,
3143,3536,False,female,24,2022-01-31,2022-01-30,regular,2022-01-30,2023-01-30,,,,,Y,,
3144,2463,True,male,35,2019-09-17,2019-09-16,regular,2019-09-16,2020-09-16,,,,,,,
3145,3084,True,unknown,34,2021-03-22,,Request_CheckIDAddressPhoneDOB,2021-03-22,,,,,,,,
3146,1822,True,female,30,2018-11-17,2018-11-17,regular,2020-07-04,2021-07-04,,,,,Y,,
3147,381,False,female,28,2016-10-30,2016-10-30,regular,2016-10-30,2017-10-30,,,,,,,
3148,535,False,male,1940,2017-03-06,2017-03-05,regular,2017-03-05,2018-03-05,,,,,,,
3149,2867,True,unknown,26,2020-06-20,2020-06-20,regular,2020-06-20,2021-06-20,,,,,,,
3150,3379,True,unknown,43,2021-10-18,2021-10-24,regular,2021-10-24,2022-10-24,,,,,,,
3151,1679,True,unknown,,2018-08-29,,Request_CheckIDAddressPhoneDOB,2018-08-29,,,,,,,,
3152,304,False,female,30,2016-09-03,2016-09-03,regular,2021-03-20,2022-03-20,,,,,Y,,
3153,2822,True,unknown,24,2020-03-09,,Request_CheckIDAddressPhoneDOB,2020-03-08,,,,,,,,
3154,968,True,unknown,,2017-09-20,2017-09-20,regular,2017-09-20,2018-09-20,,,,,,,
3155,2702,False,unknown,2,2020-01-11,2020-01-11,regular,2020-01-11,2021-01-11,,,,,,,
3156,1553,False,male,26,2018-07-08,2018-07-08,regular,2018-07-08,2019-07-08,,,,,Y,,
3157,1391,False,female,32,2018-05-05,2018-05-05,ExtremelyOverdueItems,2019-03-03,,,,,,,,
3158,2710,True,male,37,2020-01-18,2020-01-18,regular,2021-07-10,2022-07-10,,,,,Y,,
3159,597,True,unknown,31,2017-04-11,,Request_CheckIDAddressPhoneDOB,2017-04-11,,,,,,,,
3160,990,False,unknown,,2017-10-01,2017-10-01,regular,2017-10-01,2018-10-01,,,,,,,
3161,2621,False,unknown,,2019-11-21,2019-11-26,regular,2019-11-26,2020-11-26,,,,,,,
3162,1911,True,unknown,,2019-01-22,2019-01-21,regular,2019-01-21,2020-01-22,,,,,,,
3163,2198,True,unknown,,2019-06-01,,Request_CheckIDAddressPhoneDOB,2019-06-01,,,,,,,,
3164,245,True,unknown,,2016-07-20,,Request_CheckIDAddressPhoneDOB,2016-07-20,,,,,,,,
3165,266,True,unknown,,2016-08-08,,Request_CheckIDAddressPhoneDOB,2016-08-07,,,,,,,,
3166,751,False,unknown,53,2017-06-21,,Request_CheckIDAddressPhoneDOB,2017-06-20,,,,,,,,
3167,984,False,unknown,,2017-09-28,2017-09-27,regular,2017-09-27,2018-09-27,,,,,,,
3168,1896,True,female,43,2019-01-12,2019-01-12,regular,2019-01-12,2020-01-12,,,,,Y,,
3169,2844,True,unknown,32,2020-03-31,,Request_CheckIDAddressPhoneDOB,2020-03-30,,,,,,,,
3170,3598,True,unknown,27,2022-03-09,2022-04-26,regular,2022-04-26,2023-04-26,,,,,Y,,
3171,63,True,unknown,,2015-10-20,,Request_CheckIDAddressPhoneDOB,2015-10-19,,,,,,,,
3172,2536,True,female,32,2019-10-13,2019-12-02,regular,2021-04-13,2022-04-13,,,,,,,
3173,1883,True,male,71,2019-01-06,2019-01-06,regular,2019-01-06,2020-01-06,,,,,,,
3174,2925,True,unknown,62,2020-08-09,,Request_CheckIDAddressPhoneDOB,2020-08-09,,,,,,,,
3175,3638,False,unknown,28,2022-04-05,2022-04-05,regular,2022-04-05,2023-04-05,,,,,,,
3176,3098,True,unknown,55,2021-04-01,2021-04-03,regular,2021-04-03,2022-04-03,,,,,,,
3177,2150,True,male,,2019-05-15,2019-05-14,regular,2019-05-14,2020-05-14,,,,,,,
3178,844,True,unknown,,2017-08-02,,Request_CheckIDAddressPhoneDOB,2017-08-02,,,,,,,,
3179,3440,True,unknown,28,2021-12-02,,Request_CheckIDAddressPhoneDOB,2021-12-02,,,,,,,,
3180,1002,True,male,27,2017-10-05,,Request_CheckIDAddressPhoneDOB,2017-10-05,,,,,,,,
3181,2397,True,unknown,,2019-08-22,,Request_CheckIDAddressPhoneDOB,2019-08-22,,,,,,,,
3182,2561,True,male,2,2019-10-24,2019-10-23,regular,2019-10-23,2020-10-24,,,,,Y,,
3183,2784,True,unknown,55,2020-02-20,,Request_CheckIDAddressPhoneDOB,2020-02-20,,,,,,,,
3184,3513,False,unknown,38,2022-01-19,2022-01-18,regular,2022-01-18,2023-01-18,,,,,,,
3185,1152,False,female,49,2018-01-11,2018-01-10,regular,2018-01-10,2019-01-10,,,,,,,
3186,246,True,male,45,2016-07-21,2016-08-10,regular,2016-08-10,2017-08-10,,,,,,,
3187,675,True,unknown,,2017-05-20,2017-05-20,regular,2017-05-20,2018-05-20,,,,,,,
3188,198,True,male,79,2016-06-18,2016-06-18,regular,2016-06-18,2018-06-18,,,,,,,
