Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Late Fees to Date,Renewal
262,4808,Pressure Washer,8/24/2016 7:02 PM,8/31/2016 6:28 PM,8/31/2016,$0.00,
280,4472,Power Drill,8/14/2016 6:57 PM,8/20/2016 11:55 AM,8/21/2016,$0.00,
146,4523,"Saw, Hand, Narrow",5/8/2016 5:24 PM,5/11/2016 6:29 PM,5/15/2016,$0.00,
206,4322,Sander,7/2/2016 10:59 AM,7/9/2016 11:32 AM,7/9/2016,$0.00,
153,3732,Lathe Kit (tiny),5/11/2016 7:01 PM,5/18/2016 6:37 PM,5/18/2016,$0.00,
251,4996,Bit Set,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4995,hammer,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4917,Philips screwdriver,7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4919,"Screwdriver, Phillips",7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4406,"Wrench, Pipe",7/31/2016 4:20 PM,8/7/2016 4:43 PM,8/7/2016,$0.00,
251,4996,Bit Set,8/7/2016 4:44 PM,9/18/2016 5:21 PM,8/14/2016,$0.00,
251,4971,Level,8/7/2016 4:44 PM,9/18/2016 5:21 PM,8/14/2016,$0.00,
251,3800,Pliers,8/7/2016 4:44 PM,9/18/2016 5:21 PM,8/14/2016,$0.00,
147,1,dehydrator,7/14/2016 12:00 PM,8/2/2016 10:48 AM,7/21/2016,$0.00,
181,4524,bit set,6/29/2016 8:42 PM,7/2/2016 11:57 AM,7/6/2016,$0.00,
368,3805,Band Saw,10/23/2016 6:18 PM,10/23/2016 6:26 PM,10/30/2016,$0.00,
368,5049,jigsaw,10/23/2016 6:18 PM,11/2/2016 8:53 AM,10/30/2016,$0.00,
368,4992,planer,10/23/2016 6:18 PM,11/2/2016 8:53 AM,10/30/2016,$0.00,
368,5049,jigsaw,11/2/2016 8:53 AM,11/16/2016 7:15 PM,11/9/2016,$0.00,Renewal
368,4992,planer,11/2/2016 8:53 AM,11/16/2016 7:15 PM,11/9/2016,$0.00,Renewal
430,277,"Saw, Reciprocating, Cordless",12/7/2016 6:43 PM,12/28/2016 7:10 PM,12/14/2016,$0.00,
214,3742,Power Sander (hand),8/13/2016 11:59 AM,8/20/2016 11:59 AM,8/20/2016,$0.00,
214,4322,Sander,8/20/2016 11:59 AM,8/27/2016 12:55 PM,8/27/2016,$0.00,
214,3742,Power Sander (hand),8/20/2016 11:59 AM,8/27/2016 12:55 PM,8/27/2016,$0.00,Renewal
214,4322,Sander,8/27/2016 12:55 PM,9/4/2016 4:28 PM,9/3/2016,$0.00,Renewal
214,3742,Power Sander (hand),8/27/2016 12:55 PM,9/4/2016 4:28 PM,9/3/2016,$0.00,Renewal
214,4648,File,9/4/2016 4:28 PM,9/11/2016 5:34 PM,9/11/2016,$0.00,
214,5008,heat gun,9/4/2016 4:28 PM,9/11/2016 5:34 PM,9/11/2016,$0.00,
214,4322,Sander,9/4/2016 4:28 PM,9/11/2016 5:46 PM,9/11/2016,$0.00,Renewal
214,3742,Power Sander (hand),9/4/2016 4:28 PM,9/11/2016 5:46 PM,9/11/2016,$0.00,Renewal
214,4648,File,9/11/2016 5:34 PM,9/11/2016 5:46 PM,9/18/2016,$0.00,Renewal
214,5008,heat gun,9/11/2016 5:34 PM,9/11/2016 5:46 PM,9/18/2016,$0.00,Renewal
214,4648,File,9/11/2016 5:46 PM,9/11/2016 6:01 PM,9/18/2016,$0.00,Renewal
214,5008,heat gun,9/11/2016 5:46 PM,9/11/2016 6:01 PM,9/18/2016,$0.00,Renewal
214,4322,Sander,9/11/2016 5:46 PM,9/11/2016 6:01 PM,9/18/2016,$0.00,Renewal
214,3742,Power Sander (hand),9/11/2016 5:46 PM,9/28/2016 6:23 PM,9/18/2016,$0.00,Renewal
214,271,Dremel,10/15/2016 12:25 PM,10/16/2016 5:15 PM,10/22/2016,$0.00,
214,4969,Rotary dremel bit kit,10/15/2016 12:25 PM,10/16/2016 5:15 PM,10/22/2016,$0.00,
414,4338,pruning shears,11/26/2016 10:31 AM,12/3/2016 9:55 AM,12/3/2016,$0.00,
343,4520,Battery Charger,10/2/2016 5:09 PM,10/9/2016 4:24 PM,10/9/2016,$0.00,
343,259,"Drill, Cordless",10/2/2016 5:09 PM,10/9/2016 4:24 PM,10/9/2016,$0.00,
343,4675,"Clamp, Quick Grip",10/2/2016 5:09 PM,10/9/2016 4:24 PM,10/9/2016,$0.00,
343,4353,Screw Driver,10/2/2016 5:09 PM,10/9/2016 4:24 PM,10/9/2016,$0.00,
422,5027,Ladder,12/10/2016 11:41 AM,12/14/2016 7:06 PM,12/17/2016,$0.00,
422,4322,Sander,12/10/2016 11:41 AM,12/14/2016 7:06 PM,12/17/2016,$0.00,
381,5073,"Drill Bit Set, Masonry",10/30/2016 6:28 PM,11/13/2016 4:19 PM,11/6/2016,$0.00,
381,140,Paint Brush,10/30/2016 6:28 PM,11/13/2016 4:19 PM,11/6/2016,$0.00,
381,4934,"Drill, Corded",10/30/2016 6:28 PM,11/13/2016 4:19 PM,11/6/2016,$0.00,
381,4503,"Clamp, Quick Grip",10/30/2016 6:28 PM,11/13/2016 4:19 PM,11/6/2016,$0.00,
381,5120,"Clamp, Quick Grip",10/30/2016 6:28 PM,11/13/2016 4:19 PM,11/6/2016,$0.00,
381,5061,"bit set, concrete",10/30/2016 6:28 PM,11/13/2016 4:19 PM,11/6/2016,$0.00,
381,5073,"Drill Bit Set, Masonry",11/13/2016 4:19 PM,11/20/2016 4:48 PM,11/20/2016,$0.00,Renewal
381,140,Paint Brush,11/13/2016 4:19 PM,11/20/2016 4:48 PM,11/20/2016,$0.00,Renewal
381,4934,"Drill, Corded",11/13/2016 4:19 PM,11/20/2016 4:48 PM,11/20/2016,$0.00,Renewal
381,4503,"Clamp, Quick Grip",11/13/2016 4:19 PM,11/20/2016 4:48 PM,11/20/2016,$0.00,Renewal
381,5120,"Clamp, Quick Grip",11/13/2016 4:19 PM,11/20/2016 4:48 PM,11/20/2016,$0.00,Renewal
381,5061,"bit set, concrete",11/13/2016 4:19 PM,11/20/2016 4:48 PM,11/20/2016,$0.00,Renewal
171,3751,"Drill, Corded",6/1/2016 6:55 PM,6/12/2016 4:53 PM,6/8/2016,$0.00,
171,4524,bit set,6/1/2016 6:55 PM,6/12/2016 4:53 PM,6/8/2016,$0.00,
171,4810,"drill, cordless",6/26/2016 4:53 PM,7/31/2016 4:43 PM,7/3/2016,$0.00,
292,5026,Ladder,8/21/2016 5:03 PM,8/27/2016 10:16 AM,8/28/2016,$0.00,
292,3923,"Hammer, Claw",8/21/2016 6:15 PM,8/27/2016 10:16 AM,8/28/2016,$0.00,
292,40,multibar,8/21/2016 6:15 PM,8/27/2016 10:16 AM,8/28/2016,$0.00,
292,4199,Hammer,8/21/2016 6:15 PM,8/27/2016 10:16 AM,8/28/2016,$0.00,
292,524,Needle Nose Plyiers,8/21/2016 6:15 PM,8/27/2016 10:16 AM,8/28/2016,$0.00,
292,40,multibar,8/27/2016 10:16 AM,9/25/2016 6:54 PM,9/4/2016,$0.00,Renewal
292,4199,Hammer,8/27/2016 10:16 AM,9/25/2016 6:54 PM,9/4/2016,$0.00,Renewal
292,3923,"Hammer, Claw",8/27/2016 10:16 AM,9/25/2016 6:54 PM,9/4/2016,$0.00,Renewal
292,5026,Ladder,8/27/2016 10:16 AM,9/25/2016 6:54 PM,9/4/2016,$0.00,Renewal
292,524,Needle Nose Plyiers,8/27/2016 10:16 AM,9/25/2016 6:54 PM,9/4/2016,$0.00,Renewal
154,4561,Engraver,5/11/2016 7:47 PM,6/4/2016 11:55 AM,5/18/2016,$0.00,
154,825,sander,5/11/2016 7:47 PM,6/4/2016 11:55 AM,5/18/2016,$0.00,
154,4573,circular saw,5/11/2016 7:47 PM,6/4/2016 11:55 AM,5/18/2016,$0.00,
154,4630,Circular Saw,12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,663,"Saw, Miter",12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,358,crow bar,12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,96,Level,12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,3753,sander,12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,3738,saber saw,12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,359,"Square, Adjustable",12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,4825,sander,12/10/2016 11:31 AM,12/14/2016 9:56 PM,12/17/2016,$0.00,
154,359,"Square, Adjustable",12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,4630,Circular Saw,12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,663,"Saw, Miter",12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,358,crow bar,12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,96,Level,12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,4825,sander,12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,3753,sander,12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
154,3738,saber saw,12/14/2016 9:56 PM,12/21/2016 6:35 PM,12/24/2016,$0.00,Renewal
168,4678,Auger,5/28/2016 10:34 AM,5/28/2016 11:20 AM,6/4/2016,$0.00,
168,114,Plunger,7/9/2016 10:32 AM,7/16/2016 9:54 AM,7/16/2016,$0.00,
168,4751,"Saw, Miter",10/9/2016 4:34 PM,10/23/2016 4:37 PM,10/16/2016,$0.00,
55,4103,Hand sander,1/18/2016 3:50 PM,1/28/2016 7:16 AM,1/25/2016,$0.00,
55,3724,Taping Knife,1/28/2016 7:16 AM,2/28/2016 10:20 AM,2/4/2016,$0.00,
55,4103,Hand sander,1/28/2016 7:16 AM,2/28/2016 10:20 AM,2/4/2016,$0.00,Renewal
55,4082,"Saw, Hand",1/28/2016 7:18 AM,2/28/2016 10:20 AM,2/4/2016,$0.00,
55,4052,"Sanding Block, Hand",2/5/2016 7:08 PM,2/5/2016 7:15 PM,2/12/2016,$0.00,
55,131,"Paint Roller, Small",2/5/2016 7:14 PM,2/28/2016 10:20 AM,2/12/2016,$0.00,
55,1574,Tin Snips,5/15/2016 4:30 PM,5/15/2016 4:31 PM,5/22/2016,$0.00,
55,4705,Hammer,11/16/2016 6:12 PM,11/16/2016 6:14 PM,11/23/2016,$0.00,
275,4752,C-clamp,8/14/2016 3:36 PM,8/21/2016 6:19 PM,8/21/2016,$0.00,
275,5017,C-clamp,8/14/2016 3:36 PM,8/21/2016 6:19 PM,8/21/2016,$0.00,
275,4354,Car Jack,8/14/2016 3:41 PM,8/21/2016 6:20 PM,8/21/2016,$0.00,
275,4386,Tire Iron,8/14/2016 5:53 PM,8/21/2016 6:19 PM,8/21/2016,$0.00,
275,4875,Needle Nose Pliers,8/14/2016 5:53 PM,8/21/2016 6:19 PM,8/21/2016,$0.00,
275,2259,"Pliers, Slip Joint",8/14/2016 5:53 PM,8/21/2016 6:19 PM,8/21/2016,$0.00,
275,4752,C-clamp,8/21/2016 6:19 PM,8/28/2016 5:11 PM,8/28/2016,$0.00,Renewal
275,5017,C-clamp,8/21/2016 6:19 PM,8/28/2016 5:11 PM,8/28/2016,$0.00,Renewal
275,4386,Tire Iron,8/21/2016 6:19 PM,8/28/2016 5:11 PM,8/28/2016,$0.00,Renewal
275,2259,"Pliers, Slip Joint",8/21/2016 6:19 PM,8/28/2016 5:11 PM,8/28/2016,$0.00,Renewal
275,4875,Needle Nose Pliers,8/21/2016 6:19 PM,8/28/2016 5:11 PM,8/28/2016,$0.00,Renewal
275,4354,Car Jack,8/21/2016 6:20 PM,8/28/2016 5:11 PM,8/28/2016,$0.00,Renewal
164,4520,Battery Charger,5/22/2016 6:44 PM,5/29/2016 5:29 PM,5/29/2016,$0.00,
164,4519,"drill, cordless",5/22/2016 6:44 PM,5/29/2016 5:29 PM,5/29/2016,$0.00,
164,3725,"Socket Wrench Set, Metric",8/14/2016 5:09 PM,9/11/2016 4:11 PM,8/21/2016,$0.00,
164,4206,5/8 Socket Truecraft,8/14/2016 5:09 PM,9/11/2016 4:11 PM,8/21/2016,$0.00,
164,225,Socket Wrench,9/11/2016 4:26 PM,9/11/2016 5:44 PM,9/18/2016,$0.00,
164,4519,"drill, cordless",9/11/2016 4:26 PM,9/11/2016 5:44 PM,9/18/2016,$0.00,
164,3725,"Socket Wrench Set, Metric",10/1/2016 11:26 AM,10/1/2016 11:35 AM,10/8/2016,$0.00,
164,4608,chisel set,10/1/2016 11:49 AM,10/23/2016 5:07 PM,10/8/2016,$0.00,
164,3823,"Drill, Corded",10/1/2016 11:49 AM,10/23/2016 5:07 PM,10/8/2016,$0.00,
164,4613,"Mallet, Rubber",10/1/2016 11:49 AM,10/23/2016 5:07 PM,10/8/2016,$0.00,
239,3721,Tile Saw,7/16/2016 12:16 PM,7/23/2016 10:31 AM,7/23/2016,$0.00,
239,3721,Tile Saw,7/23/2016 10:31 AM,7/27/2016 7:02 PM,7/30/2016,$0.00,Renewal
439,5206,Vacuum Cleaner,12/14/2016 6:54 PM,12/17/2016 10:42 AM,12/21/2016,$0.00,
52,3760,Hole Hawg,9/23/2016 3:27 PM,10/6/2016 6:39 PM,9/30/2016,$0.00,
52,260,Plastic Bucket,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,3836,c-clamp,11/30/2016 7:25 PM,12/5/2016 10:34 AM,12/7/2016,$0.00,
52,4139,"Hammer, Claw",11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,4521,"Hammer, Claw",11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,202,Extension Cord,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,4936,Extension Cord,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,4941,extension cord,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,4942,extension cord,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,4991,Extension Cord,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
52,315,Extension Cord,11/30/2016 7:25 PM,12/4/2016 4:19 PM,12/7/2016,$0.00,
