Loan ID,Membership ID,Item ID,Item Name,Checked Out,Checked In,Due Date,Check Out Location,Check In Location,Late Fees to Date,Renewal
2838444,1402,4655,"Scraper, Multitool",4/13/2022 8:57 PM,,4/20/2022,,,$0.00,Renewal
2167201,2905,7318,"Shop Vac, Wet/Dry, 12 Gal",11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167202,2905,7453,Wire Cutter,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2807927,393,428,File,3/27/2022 4:59 PM,,4/3/2022,,,$1.30,Renewal
2807929,393,8221,Small Grommet Kit,3/27/2022 4:59 PM,,4/3/2022,,,$1.30,
2807926,393,7117,Ice Cream Maker,3/27/2022 4:59 PM,,4/3/2022,,,$1.30,Renewal
2807930,393,8232,Grommet Pliers,3/27/2022 4:59 PM,,4/3/2022,,,$1.30,
2807925,393,738,Coffee Bag,3/27/2022 4:59 PM,,4/3/2022,,,$1.30,Renewal
2446839,3089,3205,"Socket Set, SAE",7/20/2021 7:07 PM,,7/27/2021,,,$26.30,
2446840,3089,776,Rachet,7/20/2021 7:07 PM,,7/27/2021,,,$26.30,
2512989,2546,7953,Hand Impact Driver,9/4/2021 11:22 AM,,9/11/2021,,,$21.70,
2304867,2536,7990,Paintbrush,4/13/2021 8:01 PM,,4/20/2021,,,$36.10,
2304865,2536,5632,Extension Cord,4/13/2021 8:01 PM,,4/20/2021,,,$36.10,
2304866,2536,6379,Paint Roller,4/13/2021 8:01 PM,,4/20/2021,,,$36.10,
2304869,2536,7322,Power Sander,4/13/2021 8:01 PM,,4/20/2021,,,$36.10,
2304868,2536,5376,"Scraper, Multitool",4/13/2021 8:01 PM,,4/20/2021,,,$36.10,
2167217,2912,6366,Paint Tray,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167220,2912,7437,Paint Tray,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167215,2912,7547,Grout Sealer Roller Applicator,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167211,2912,7094,Caulk Spreader,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167207,2912,7506,Extension Cord,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167206,2912,703,Extension Cord,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167209,2912,696,Paint Roller Extension Pole,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167208,2912,697,Paint Roller Extension Pole,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167218,2912,83,Flashlight,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167222,2912,7491,Flashlight,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167216,2912,6770,Cooler,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167221,2912,4060,Drywall Knife,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167219,2912,4069,Notched Trowel,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167213,2912,6384,Paint Roller,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167212,2912,580,Paint Roller,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167214,2912,6458,Putty Knife,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167210,2912,7119,Taping Knife,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167223,2912,6995,"Shop Vac, Wet/Dry, 1 Gal",11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167235,2042,7126,Carpet Knife,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167234,2042,5239,Chisel,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167225,2042,5249,Mortise Chisel,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167224,2042,5845,Gouge,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167231,2042,585,Chisel,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167232,2042,5757,Whetstone,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167226,2042,611,Sharpening Stone,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167228,2042,612,Sharpening Stone,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167227,2042,613,Sharpening Stone,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167229,2042,614,Stone,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167233,2042,4032,Plane,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167236,2042,6635,Hook Knife,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2167230,2042,6774,Draw Knife,11/29/2020 4:31 PM,,12/19/2020,,,$48.30,Renewal
2842203,3643,6702,Caulk Gun,4/16/2022 1:12 AM,,4/23/2022,,,$0.00,Renewal
2842204,3643,7473,Tapping Block,4/16/2022 1:12 AM,,4/23/2022,,,$0.00,Renewal
2842205,3643,7020,Jigsaw,4/16/2022 1:13 AM,,4/23/2022,,,$0.00,Renewal
2842206,3643,7520,Pry Bar,4/16/2022 1:13 AM,,4/23/2022,,,$0.00,Renewal
2842207,3643,218,Pry Bar,4/16/2022 1:13 AM,,4/23/2022,,,$0.00,Renewal
2842208,3643,365,T-square,4/16/2022 1:13 AM,,4/23/2022,,,$0.00,Renewal
2842209,3643,5729,Speed Square,4/16/2022 1:13 AM,,4/23/2022,,,$0.00,Renewal
2842210,3643,3743,Circular Saw,4/16/2022 1:13 AM,,4/23/2022,,,$0.00,Renewal
2842212,3643,4811,Level,4/16/2022 1:14 AM,,4/23/2022,,,$0.00,Renewal
2842213,3643,8768,gloves,4/16/2022 1:14 AM,,4/23/2022,,,$0.00,Renewal
2842214,3643,305,Nail Gun,4/16/2022 1:14 AM,,4/23/2022,,,$0.00,Renewal
2842215,3643,7598,Air Compressor,4/16/2022 1:14 AM,,4/23/2022,,,$0.00,Renewal
2836186,3374,7700,Serger,4/12/2022 8:03 PM,,4/19/2022,,,$0.00,
2823090,3544,6374,Paintbrush,4/5/2022 6:51 PM,,4/12/2022,,,$0.40,
2823089,3544,7863,Paint Brush,4/5/2022 6:51 PM,,4/12/2022,,,$0.40,
2823088,3544,8365,Drop Cloth,4/5/2022 6:51 PM,,4/12/2022,,,$0.40,
2835389,1345,8198,Random Orbit Sander,4/12/2022 12:07 PM,,4/20/2022,,,$0.00,Renewal
2735119,3549,8255,20V/60V Max 9.0Ah BATT_X,2/8/2022 9:01 PM,,2/15/2022,,,$6.00,
2735122,3549,8246,Cordless Wet/Dry Vacuum BATT_X,2/8/2022 9:01 PM,,2/15/2022,,,$6.00,
2735121,3549,7872,"Li-ion Battery Charger, 1A",2/8/2022 9:01 PM,,2/15/2022,,,$6.00,
2735117,3549,6857,Battery Charger BATT_C 9.6-18V,2/8/2022 9:01 PM,,2/15/2022,,,$6.00,
2735114,3549,6812,Tent,2/8/2022 9:01 PM,,2/15/2022,,,$6.00,
2736519,3549,7668,Bow Saw,2/9/2022 8:47 PM,,2/16/2022,,,$5.90,
2736521,3549,7417,Claw Hammer,2/9/2022 8:47 PM,,2/16/2022,,,$5.90,
2736518,3549,322,Machete,2/9/2022 8:47 PM,,2/16/2022,,,$5.90,
2736520,3549,4433,Wedge,2/9/2022 8:47 PM,,2/16/2022,,,$5.90,
2736522,3549,7685,Windows Laptop (LAB3) With Charger,2/9/2022 8:47 PM,,2/16/2022,,,$5.90,
2742070,3549,5273,Lantern,2/13/2022 7:13 PM,,2/20/2022,,,$5.50,
2742069,3549,7976,File,2/13/2022 7:13 PM,,2/20/2022,,,$5.50,
2742068,3549,8395,Manual Bench Grinder,2/13/2022 7:13 PM,,2/20/2022,,,$5.50,
2742067,3549,6053,Floor Pump,2/13/2022 7:13 PM,,2/20/2022,,,$5.50,
2742071,3549,7433,Grabber,2/13/2022 7:14 PM,,2/20/2022,,,$5.50,
2524938,2115,7186,Oscillating Multitool,9/12/2021 5:29 PM,,9/19/2021,,,$20.90,
2524969,2115,8238,Hole Saw Kit,9/12/2021 6:52 PM,,9/19/2021,,,$20.90,
2524970,2115,5498,Tile Nippers,9/12/2021 6:52 PM,,9/19/2021,,,$20.90,
2831804,3633,7421,Extension Cord,4/9/2022 8:02 PM,,4/17/2022,,,$0.00,Renewal
2831805,3633,5411,Rake,4/9/2022 8:02 PM,,4/17/2022,,,$0.00,Renewal
2831806,3633,8297,Pressure Washer,4/9/2022 8:02 PM,,4/17/2022,,,$0.00,Renewal
2831807,3633,4778,"Manual Lawn Edger, Rotary",4/9/2022 8:02 PM,,4/17/2022,,,$0.00,Renewal
2812843,2191,4686,Dremel Set,3/30/2022 5:07 PM,,4/6/2022,,,$1.00,Renewal
2812842,2191,694,Dremel Bits,3/30/2022 5:07 PM,,4/6/2022,,,$1.00,Renewal
2812841,2191,6489,Brad Nailer,3/30/2022 5:07 PM,,4/6/2022,,,$1.00,Renewal
2812844,2191,5759,Pocket Hole Jig,3/30/2022 5:07 PM,,4/6/2022,,,$1.00,Renewal
2812840,2191,512,Bench Mount Vise,3/30/2022 5:07 PM,,4/6/2022,,,$1.00,Renewal
2563016,3255,749,Breaker Bar,10/5/2021 7:28 PM,,10/12/2021,,,$18.60,
2563014,3255,5422,Steel Tube Bender,10/5/2021 7:28 PM,,10/12/2021,,,$18.60,
2563015,3255,8317,Socket,10/5/2021 7:28 PM,,10/12/2021,,,$18.60,
