index,Membership ID,Item ID,Checked Out,Checked In,Due Date,Late Fees To Date,Renewals
3595,1587,4471,2022-01-29 11:50:00,2022-03-22 19:00:00,2022-02-09,0.0,1
2508,1587,4604,2021-09-21 18:53:00,2022-01-29 11:33:00,2021-09-28,0.0,0
3495,1587,4645,2018-07-24 17:47:00,2018-08-05 16:46:00,2018-07-31,0.0,0
3600,1587,5013,2022-02-02 20:09:00,2022-03-22 19:00:00,2022-02-09,0.0,0
3603,1587,6399,2022-05-29 18:44:00,2022-05-31 19:36:00,2022-06-05,0.0,0
3493,1587,6483,2018-07-22 17:27:00,2018-09-09 18:04:00,2018-08-12,0.0,1
3494,1587,6870,2018-07-22 17:27:00,2018-08-05 16:46:00,2018-07-29,0.0,0
2507,1587,7995,2021-09-21 18:53:00,2022-01-29 11:33:00,2021-09-28,0.0,0
3602,1587,8047,2022-05-29 18:44:00,2022-05-31 19:36:00,2022-06-05,0.0,0
3605,1587,8195,2022-05-29 18:44:00,2022-05-31 19:36:00,2022-06-05,0.0,0
4720,1588,587,2020-08-22 11:17:00,2020-09-05 09:55:00,2020-08-29,0.0,0
3810,1588,3829,2018-07-22 18:50:00,2018-07-29 16:08:00,2018-07-29,0.0,0
3816,1588,4927,2018-10-07 16:17:00,2018-10-14 16:10:00,2018-10-14,0.0,0
3815,1588,5051,2018-08-05 17:12:00,2018-08-12 16:11:00,2018-08-12,0.0,0
3812,1588,5227,2018-07-29 16:08:00,2018-08-04 10:59:00,2018-08-05,0.0,0
3811,1588,5229,2018-07-29 16:08:00,2018-08-04 10:59:00,2018-08-05,0.0,0
3817,1588,5628,2018-10-07 16:17:00,2018-10-14 16:10:00,2018-10-14,0.0,0
3813,1588,6036,2018-08-04 11:18:00,2018-08-05 17:12:00,2018-08-11,0.0,0
3814,1588,6785,2018-08-04 11:18:00,2018-08-05 17:12:00,2018-08-11,0.0,0
2895,1588,7711,2021-01-02 11:13:00,2021-01-09 11:21:00,2021-01-09,0.0,0
2492,1589,4843,2018-07-22 18:30:00,2018-08-04 10:37:00,2018-07-29,0.0,0
2493,1589,6769,2018-08-04 10:41:00,2018-08-26 16:53:00,2018-08-11,0.0,0
2856,1589,6769,2019-05-20 20:52:00,2019-06-03 20:54:00,2019-05-27,0.0,0
2857,1589,6814,2019-05-20 20:52:00,2019-06-03 20:54:00,2019-05-27,0.0,0
2858,1589,6815,2019-05-20 20:52:00,2019-06-03 20:54:00,2019-05-27,0.0,0
2854,1589,7408,2019-05-20 20:52:00,2019-06-03 20:54:00,2019-05-27,0.0,0
2855,1589,7409,2019-05-20 20:52:00,2019-06-03 20:54:00,2019-05-27,0.0,0
406,159,4425,2016-05-22 18:30:00,2016-05-28 11:54:00,2016-05-29,0.0,0
405,159,4427,2016-05-22 18:30:00,2016-05-28 11:54:00,2016-05-29,0.0,0
407,159,4465,2016-05-22 18:30:00,2016-05-28 11:54:00,2016-05-29,0.0,0
1714,1590,148,2019-03-05 20:01:00,2019-03-12 18:31:00,2019-03-12,0.0,0
1736,1590,208,2018-09-02 19:02:00,2018-09-16 19:02:00,2018-09-09,0.0,0
1737,1590,282,2018-09-16 19:02:00,2018-09-23 18:54:00,2018-09-23,0.0,0
1717,1590,3752,2019-03-12 18:31:00,2019-04-13 14:07:00,2019-04-06,0.0,3
1713,1590,5377,2019-03-05 20:01:00,2019-03-12 18:31:00,2019-03-12,0.0,0
1720,1590,5377,2019-03-16 12:18:00,2019-04-13 14:07:00,2019-04-06,0.0,2
1735,1590,6036,2018-09-02 19:02:00,2018-09-16 19:02:00,2018-09-09,0.0,0
1721,1590,6697,2019-03-16 12:18:00,2019-04-13 14:07:00,2019-04-06,0.0,2
