,Membership ID,Confirmed?,Sex,Age,Created,First Membership Started,Current Membership Type,Last Changed,Expiration,American Indian or Alaskan Native,Asian,Black or African American,Hispanic,White,Native Hawaiian or Pacific Islander,Other
3266,3340,False,unknown,,2021-09-25,2021-09-25,regular,2021-09-25,2022-09-25,,,,,,,
3267,4712,True,male,45,2023-06-16,2023-07-16,regular,2023-07-16,2024-07-16,,,,,,,
3268,3964,False,unknown,,2022-08-20,2022-08-20,regular,2022-08-20,2023-08-20,,,,,,,
3269,2663,False,unknown,,2019-12-23,2019-12-22,regular,2019-12-22,2020-12-22,,,,,,,
3270,2484,False,unknown,,2019-09-24,,Request_CheckIDAddressPhoneDOB,2019-09-23,,,,,,,,
3271,1653,True,unknown,,2018-08-20,2018-08-28,regular,2020-10-10,2021-10-10,,,,,,,
3272,645,True,unknown,,2017-05-04,2017-05-03,regular,2017-05-03,2018-05-03,,,,,,,
3273,2992,False,unknown,,2020-10-17,2020-10-17,regular,2020-10-17,2021-10-17,,,,,,,
3274,3552,False,unknown,,2022-02-10,2022-02-09,regular,2022-02-09,2023-02-09,,,,,,,
3275,2115,False,would rather not say,,2019-05-02,2019-06-23,regular,2023-08-15,2024-08-15,,,,,,,
3276,795,False,female,,2017-07-16,2017-07-16,regular,2017-07-16,2018-07-16,,,,,Y,,
3277,3895,True,unknown,,2022-07-28,2022-07-27,regular,2022-07-27,2023-07-27,,,,,,,
3278,1468,False,female,,2018-06-03,2018-06-03,regular,2018-06-03,2019-06-03,,,,,Y,,
3279,1717,False,unknown,,2018-09-18,,Request_CheckIDAddressPhoneDOB,2018-09-18,,,,,,,,
3280,2257,True,unknown,,2019-06-25,,Request_CheckIDAddressPhoneDOB,2019-06-24,,,,,,,,
3281,4074,True,male,32,2022-10-10,,Request_CheckIDAddressPhoneDOB,2022-10-10,,,Y,,,,,
3282,1376,True,female,,2018-04-30,2018-05-02,regular,2018-05-02,2019-05-02,,,,,,,
3283,3100,True,unknown,,2021-04-03,2021-04-03,regular,2021-04-03,2022-04-03,,,,,,,
3284,4840,True,unknown,,2023-07-26,2023-07-25,regular,2023-07-25,2024-07-25,,,,,,,
3285,2366,True,unknown,,2019-08-14,2019-08-13,regular,2019-08-13,2020-08-13,,,,,,,
3286,3864,True,unknown,,2022-07-17,2022-07-17,regular,2022-07-17,2023-07-17,,,,,,,
3287,2348,False,male,,2019-08-04,2019-08-04,regular,2019-08-04,2020-08-04,,,,,Y,,
3288,4977,True,unknown,,2023-09-05,,Request_CheckIDAddressPhoneDOB,2023-09-05,,,,,,,,
3289,3631,False,unknown,,2022-04-02,2022-04-02,regular,2022-04-02,2023-04-02,,,,,Y,,
3290,643,False,unknown,,2017-05-03,,Request_CheckIDAddressPhoneDOB,2017-05-03,,,,,,,,
3291,3940,True,unknown,,2022-08-11,,Request_CheckIDAddressPhoneDOB,2022-08-11,,,,,,,,
3292,4379,True,unknown,22,2023-03-08,2023-03-07,regular,2023-03-07,2024-03-07,,,,,,,
3293,4551,True,female,49,2023-05-04,,Request_CheckIDAddressPhoneDOB,2023-05-03,,,,,,Y,,
3294,32,False,unknown,,2015-07-12,,Request_CheckIDAddressPhoneDOB,2015-07-12,,,,,,,,
3295,268,False,unknown,,2016-08-08,,Request_CheckIDAddressPhoneDOB,2016-08-08,,,,,,,,
3296,1154,False,unknown,,2018-01-13,2018-01-13,regular,2018-01-13,2019-01-14,,,,,Y,,
3297,1431,False,male,,2018-05-19,2018-05-19,regular,2018-05-19,2019-05-19,,,,,Y,,
3298,1782,False,unknown,,2018-10-25,2019-05-06,regular,2021-08-03,2022-08-03,,,,,,,
3299,2550,False,would rather not say,,2019-10-19,2019-10-19,regular,2019-10-19,2020-10-19,,,,,Y,,
